Temp,State,Name,FMP,SD,N
27º,Aposymbiotic,AH1a009.tif,4.8894404917698315,0.42891578192069607,923
27º,Aposymbiotic,AH1a012.tif,5.963313213325523,1.581697158582545,1037
27º,Aposymbiotic,AH1a015.tif,5.582920471521006,0.5499074008371129,843
27º,Aposymbiotic,AH1a017.tif,6.07929453320717,1.0552107863351834,549
27º,Aposymbiotic,AH1a020.tif,5.811394972993408,0.6299779508591872,386
27º,Aposymbiotic,AH1a021.tif,6.420796976414736,1.021240811719199,178
27º,Aposymbiotic,AH1a027.tif,7.560629075685063,0.9179964551255585,222
27º,Aposymbiotic,AH1a039.tif,6.397305375310015,0.5706803096339829,19
27º,Aposymbiotic,AH1a_b016.tif,3.629365552841148,0.6599090237682617,185
27º,Aposymbiotic,AH1a_b021.tif,3.6290876131689145,0.18242711857292626,28
27º,Aposymbiotic,AH1a_b023.tif,3.8791903394774705,0.4212294515153201,263
27º,Aposymbiotic,AH1b006.tif,4.035841165766048,0.2202066132806632,46
27º,Aposymbiotic,AH1b008.tif,8.224037240587666,0.6035406394700393,35
27º,Aposymbiotic,AH1b011.tif,5.309360021796119,0.3840509756393294,325
27º,Aposymbiotic,AH1b012.tif,5.627196671974328,0.49463421272445174,473
27º,Aposymbiotic,AH2_a012.tif,3.693830083598829,0.7447344323426103,671
27º,Aposymbiotic,AH2_a013.tif,3.4926179130059474,0.5864229993248633,736
27º,Aposymbiotic,AH2_a019.tif,3.6022502225925463,0.4476448030118377,446
27º,Aposymbiotic,AH2_b005.tif,4.4771288016799335,0.7783556729513151,621
27º,Aposymbiotic,AH2_b008.tif,3.8925147203994586,0.4683568793165512,395
27º,Aposymbiotic,AH2_b013.tif,4.053248172152275,0.5565705093314451,276
27º,Aposymbiotic,AH2_b015.tif,5.568181127458583,0.6047162592534308,155
27º,Aposymbiotic,AH2_c008.tif,3.060144217195476,0.2796510163758126,667
27º,Aposymbiotic,AH2_c013.tif,3.1781213837901117,0.30806866253025994,98
27º,Aposymbiotic,AH2_c024.tif,3.9723960376035685,0.5302129993000239,945
20º,Aposymbiotic,AW10005.tif,6.618784910849583,1.503988653005542,214
20º,Aposymbiotic,AW10007.tif,5.835019031798977,0.38076932884237374,57
20º,Aposymbiotic,AW10010.tif,7.311397919745596,1.310679129156152,449
