,Treatment,Temperature,Symbiont,Image,Roughness,SD,SE
1,15º Aposymbiotic,15º,Aposymbiotic,AC1a007,16637.47803,4380.779342,1385.324065
2,15º Aposymbiotic,15º,Aposymbiotic,AC1a011,16537.98052,3899.648691,1233.177194
3,15º Aposymbiotic,15º,Aposymbiotic,AC1a017,5893.14399,1743.095429,551.2151735
4,15º Aposymbiotic,15º,Aposymbiotic,AC1a018,5923.534389,1586.410986,501.6672022
5,15º Aposymbiotic,15º,Aposymbiotic,AC1b007,4538.413562,626.838974,198.2238884
6,15º Aposymbiotic,15º,Aposymbiotic,AC1b010,9576.056154,1722.405861,544.6725577
7,15º Aposymbiotic,15º,Aposymbiotic,AC1b015,5710.986747,724.9795344,229.2586586
8,15º Aposymbiotic,15º,Aposymbiotic,AC1b_b006,9548.313912,2084.596354,659.2072482
9,15º Aposymbiotic,15º,Aposymbiotic,AC1b_b008,7191.140974,2514.55366,795.1716866
10,15º Aposymbiotic,15º,Aposymbiotic,AC1b_b013,9358.236862,4487.136763,1418.957234
11,15º Aposymbiotic,15º,Aposymbiotic,AC1b025,9633.394815,1464.883275,463.2367656
12,15º Aposymbiotic,15º,Aposymbiotic,AC1b_c004,2990.55995,460.1141231,145.5008613
13,15º Aposymbiotic,15º,Aposymbiotic,AC1b_c008,3607.459035,662.014356,209.3473209
14,15º Aposymbiotic,15º,Aposymbiotic,AC1b_c012,2264.87256,342.1532105,108.1983454
15,15º Aposymbiotic,15º,Aposymbiotic,AC1b_c015,2489.46816,354.7865473,112.1933573
16,15º Aposymbiotic,15º,Aposymbiotic,AC2010,3382.197533,536.3791803,169.6179899
17,15º Aposymbiotic,15º,Aposymbiotic,AC2014,2713.232552,590.3355906,186.680505
18,15º Aposymbiotic,15º,Aposymbiotic,AC2019,7339.324955,1490.014529,471.183966
19,15º Aposymbiotic,15º,Aposymbiotic,AC2020,11351.1356,1553.756704,491.3410116
20,15º Aposymbiotic,15º,Aposymbiotic,AC2026,16837.32188,5685.43616,1797.892776
21,15º Symbiotic,15º,Symbiotic,SC1_a009,13515.07807,2106.38576,666.0976634
22,15º Symbiotic,15º,Symbiotic,SC1_a013,11632.04376,1999.070624,632.1616376
23,15º Symbiotic,15º,Symbiotic,SC1_a021,19286.95908,1722.28383,544.633968
24,15º Symbiotic,15º,Symbiotic,SC1_a024,34090.03572,4344.026137,1373.701681
25,15º Symbiotic,15º,Symbiotic,SC1_a030,14384.73524,2453.302415,775.8023421
26,15º Symbiotic,15º,Symbiotic,SC1_b006,5615.434011,1958.453818,619.3174758
27,15º Symbiotic,15º,Symbiotic,SC1_b012,4102.954538,1065.456377,336.9268897
28,15º Symbiotic,15º,Symbiotic,SC1_b017,3636.002601,985.8045689,311.7387765
29,15º Symbiotic,15º,Symbiotic,SC1_b019,5433.418672,1401.96038,443.3387989
30,15º Symbiotic,15º,Symbiotic,SC1_b024,6140.709812,2053.358237,649.328888
31,15º Symbiotic,15º,Symbiotic,SC1_b029,4190.064609,1785.873418,564.7427615
32,15º Symbiotic,15º,Symbiotic,SC1_b034,7709.203879,1483.687741,469.1832599
33,15º Symbiotic,15º,Symbiotic,SC1_c016,16826.30742,2414.125787,763.4136046
34,15º Symbiotic,15º,Symbiotic,SC1_c017,18834.00798,2203.726289,696.8794412
35,15º Symbiotic,15º,Symbiotic,SC1_c034,7642.033458,2174.184118,687.5373865
36,15º Symbiotic,15º,Symbiotic,SC1_c039,10853.39091,1412.269596,446.5988593
37,15º Symbiotic,15º,Symbiotic,SC2_a008,31030.84622,5563.490585,1759.330199
38,15º Symbiotic,15º,Symbiotic,SC2_a012,21015.40339,3910.573185,1236.631822
39,15º Symbiotic,15º,Symbiotic,SC2_a026,18916.89047,2636.923032,833.8682795
40,15º Symbiotic,15º,Symbiotic,SC2_a032,15518.57683,6113.805869,1933.355172
