Temperature,Symbiont,Colony,Polyp,"Image ",Roughness,Log(Roughness),FMP,1/FMP
"15 ºC",Aposymbiotic,AC1,AC1a_a,AC1a007,16637.47800,4.221,5.28310342,0.18928268491098
"15 ºC",Aposymbiotic,AC1,AC1a_a,AC1a011,16537.98050,4.218,6.12640011,0.16322799393525
"15 ºC",Aposymbiotic,AC1,AC1a_a,AC1a017,5893.14399,3.770,3.38300173,0.29559547402301
"15 ºC",Aposymbiotic,AC1,AC1a_a,AC1a018,5923.53439,3.773,4.84461243,0.20641486072396
"15 ºC",Aposymbiotic,AC1,AC1b_a,AC1b007,4538.41356,3.657,3.72020465,0.26880241655523
"15 ºC",Aposymbiotic,AC1,AC1b_a,AC1b010,9576.05615,3.981,6.17746354,0.16187873769304
"15 ºC",Aposymbiotic,AC1,AC1b_a,AC1b015,5710.98675,3.757,5.27225232,0.18967225756752
"15 ºC",Aposymbiotic,AC1,AC1b_b,AC1b_b006,9548.31391,3.980,4.62452030,0.21623864425463
"15 ºC",Aposymbiotic,AC1,AC1b_b,AC1b_b008,7191.14097,3.857,4.50061069,0.22219206878345
"15 ºC",Aposymbiotic,AC1,AC1b_b,AC1b_b013,9358.23686,3.971,5.24588420,0.19062563371109
"15 ºC",Aposymbiotic,AC1,AC1b_b,AC1b025,9633.39482,3.984,4.01082118,0.24932550096886
"15 ºC",Aposymbiotic,AC1,AC1b_c,AC1b_c004,2990.55995,3.476,4.81874668,0.20752284077320
"15 ºC",Aposymbiotic,AC1,AC1b_c,AC1b_c008,3607.45904,3.557,3.89136998,0.25697890592248
"15 ºC",Aposymbiotic,AC1,AC1b_c,AC1b_c012,2264.87256,3.355,3.97822358,0.25136847637910
"15 ºC",Aposymbiotic,AC1,AC1b_c,AC1b_c015,2489.46816,3.396,4.77454537,0.20944402503395
"15 ºC",Aposymbiotic,AC2,AC2_a,AC2010,3382.19753,3.529,3.73172194,0.26797280614107
"15 ºC",Aposymbiotic,AC2,AC2_a,AC2014,2713.23255,3.433,3.76316395,0.26573383814436
"15 ºC",Aposymbiotic,AC2,AC2_b,AC2019,7339.32496,3.866,4.08719208,0.24466674930531
"15 ºC",Aposymbiotic,AC2,AC2_b,AC2020,11351.13560,4.055,6.06571903,0.16486091674444
"15 ºC",Aposymbiotic,AC2,AC2_b,AC2026,16837.32190,4.226,10.08381300,0.09916883623288
"15 ºC",Symbiotic,SC1,SC1_a,SC1_a009,13515.07810,4.131,8.20834009,0.12182731088570
"15 ºC",Symbiotic,SC1,SC1_a,SC1_a013,11632.04380,4.066,9.64776580,0.10365094061467
"15 ºC",Symbiotic,SC1,SC1_a,SC1_a021,19286.95910,4.285,5.32670454,0.18773333352557
"15 ºC",Symbiotic,SC1,SC1_a,SC1_a024,34090.03570,4.533,6.34562094,0.15758899081041
"15 ºC",Symbiotic,SC1,SC1_a,SC1_a030,14384.73520,4.158,6.28737514,0.15904888411033
"15 ºC",Symbiotic,SC1,SC1_b,SC1_b006,5615.43401,3.749,4.30053928,0.23252897715656
"15 ºC",Symbiotic,SC1,SC1_b,SC1_b012,4102.95454,3.613,5.16421498,0.19364027327925
"15 ºC",Symbiotic,SC1,SC1_b,SC1_b017,3636.00260,3.561,4.04724210,0.24708183382457
"15 ºC",Symbiotic,SC1,SC1_b,SC1_b019,5433.41867,3.735,3.89215074,0.25692735631303
"15 ºC",Symbiotic,SC1,SC1_b,SC1_b024,6140.70981,3.788,4.23218356,0.23628464735117
"15 ºC",Symbiotic,SC1,SC1_b,SC1_b029,4190.06461,3.622,4.31646917,0.23167083109272
"15 ºC",Symbiotic,SC1,SC1_b,SC1_b034,7709.20388,3.887,5.41158810,0.18478863903186
"15 ºC",Symbiotic,SC1,SC1_c,SC1_c016,16826.30740,4.226,4.91042485,0.20364836659704
"15 ºC",Symbiotic,SC1,SC1_c,SC1_c017,18834.00800,4.275,6.17980609,0.16181737508207
"15 ºC",Symbiotic,SC1,SC1_c,SC1_c034,7642.03346,3.883,4.12920501,0.24217736769626
"15 ºC",Symbiotic,SC1,SC1_c,SC1_c039,10853.39090,4.036,4.05733617,0.24646712968820
"15 ºC",Symbiotic,SC2,SC2_a,SC2_a008,31030.84620,4.492,6.72583625,0.14868039643398
"15 ºC",Symbiotic,SC2,SC2_a,SC2_a012,21015.40340,4.323,4.95405081,0.20185501488629
"15 ºC",Symbiotic,SC2,SC2_a,SC2_a026,18916.89050,4.277,4.79772021,0.20843232957097
"15 ºC",Symbiotic,SC2,SC2_a,SC2_a032,15518.57680,4.191,3.75090074,0.26660262942602
"15 ºC",Symbiotic,SC2,SC2_b,SC2_b010,6165.14642,3.790,3.54386681,0.28217764764133
"15 ºC",Symbiotic,SC2,SC2_b,SC2_b014,10781.76280,4.033,5.03826975,0.19848083759310
"15 ºC",Symbiotic,SC2,SC2_b,SC2_b022,6851.67927,3.836,4.02771081,0.24827999009194
"15 ºC",Symbiotic,SC2,SC2_b,SC2_b030,6923.40286,3.840,4.59772320,0.21749895687500
"15 ºC",Symbiotic,SC2,SC2_c,SC2_c011,15980.37190,4.204,4.62185584,0.21636330396666
"15 ºC",Symbiotic,SC2,SC2_c,SC2_c017,8543.87134,3.932,4.06811511,0.24581408661271
"15 ºC",Symbiotic,SC2,SC2_c,SC2_c021,10828.63970,4.035,3.86126924,0.25898219933506
"15 ºC",Symbiotic,SC2,SC2_c,SC2_c033,20249.49680,4.306,3.77104070,0.26517878738355
